,AdmArea,District,EDU_NAME,ID,LINK,OGRN,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,YEAR,global_id,signature_date,system_object_id
58,Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»,5402,"{'global_id': 13793711, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1200»'}",1037739276684,126,51,25,2015-2016,4697982,31.10.2016 09:29:21,5402
59,Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1512»,5397,"{'global_id': 4478602, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1512»'}",1027739826564,84,55,29,2015-2016,4697983,31.10.2016 09:37:51,5397
60,Юго-Восточный административный округ,Рязанский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1367»,487,"{'global_id': 13793725, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1367»'}",5137746181480,168,84,27,2015-2016,4697984,31.10.2016 09:35:00,487
61,Юго-Западный административный округ,район Северное Бутово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1613»,494,"{'global_id': 4479022, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1613»'}",5147746142880,36,22,7,2015-2016,4697985,31.10.2016 09:33:47,494
62,Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени Героя Советского Союза К.К. Рокоссовского»,1981,"{'global_id': 4479148, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени Героя Советского Союза К.К. Рокоссовского»'}",1027739302788,123,63,27,2015-2016,4697987,31.10.2016 09:10:17,1981
63,Юго-Западный административный округ,район Ясенево,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2103,1936,"{'global_id': 4479414, 'value': 'Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2103'}",1137746932850,78,60,20,2015-2016,4697989,31.10.2016 09:38:10,1936
64,Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 429 «Соколиная гора»,1923,"{'global_id': 4478774, 'value': 'Государственное бюджетное образовательное учреждение города Москвы лицей № 429 «Соколиная гора»'}",1147746002238,266,90,42,2015-2016,4697990,31.10.2016 09:26:15,1923
65,Южный административный округ,район Чертаново Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2113»,1768,"{'global_id': 4479337, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2113»'}",5147746150162,143,29,4,2015-2016,4697991,31.10.2016 09:24:45,1768
66,Южный административный округ,район Чертаново Южное,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1526»,1713,"{'global_id': 20974880, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1526»'}",1097746830830,96,47,25,2015-2016,4697994,31.10.2016 09:12:48,1713
67,Юго-Восточный административный округ,район Некрасовка,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,1716,"{'global_id': 4479317, 'value': 'Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»'}",1137746800058,185,60,19,2015-2016,4697995,31.10.2016 09:08:15,1716
