,EDU_NAME,PASSED_NUMBER_FULL,PASSER_UNDER_160,PASSES_OVER_220,lat,lon
153,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»,134,92,38,55.717344,37.4201171
154,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 633,17,9,2,55.7552417,37.8205287
155,Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр на проспекте Вернадского»,58,56,33,55.653352,37.4831461
156,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1828 «Сабурово»,44,20,9,55.639803,37.697518
157,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1770»,139,60,15,55.676302,37.695417
158,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1319»,26,26,25,55.652246,37.760098
159,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 216»,53,10,5,55.808762,37.5603625
160,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1945 «Синяя птица»,53,27,7,55.5701218,37.5845016
161,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1506»,145,75,42,55.890639,37.65893
162,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2109»,163,70,27,55.502502,37.596572
163,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1073»,26,14,5,55.6599483,37.6264343
164,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»,109,55,17,55.61405,37.294671
165,Государственное бюджетное общеобразовательное учреждение Московская гимназия на Юго-Западе № 1543,111,83,82,55.656084,37.486154
166,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1560»,190,98,42,55.780469,37.483657
167,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»,65,34,11,55.758509,37.797011
168,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»,112,82,44,55.6842311,37.5645367
169,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 305»,63,31,15,55.880081,37.579376
170,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 880»,69,28,8,55.610486,37.581148
171,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1161»,52,35,6,55.551721,37.568833
172,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1929»,93,35,12,55.635424,37.743361
173,Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»,108,76,48,55.762277,37.786723
174,Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинский лицей № 1500»,184,94,46,55.764679,37.633744
175,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,106,22,4,55.724379,37.806427
176,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Многопрофильный центр образования»,15,0,0,55.838531,37.454017
177,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики № 1384 имени А.А. Леманского»,62,22,15,55.7983424,37.5239556
178,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Перспектива»,13,10,3,55.9456471,37.3471088
179,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1158»,130,114,68,55.635165,37.596612
180,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1287»,183,93,49,55.796483,37.52092
181,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1571»,151,117,61,55.861898,37.445207
182,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 967»,100,33,6,55.878806,37.652787
183,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1877 «Люблино»,22,11,3,55.6686686,37.7464216
184,Государственное автономное профессиональное образовательное учреждение города Москвы «Колледж предпринимательства № 11»,44,10,5,55.860666,37.492078
185,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1520 имени Капцовых»,134,124,93,55.760627,37.604903
186,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 763»,160,79,39,55.883492,37.695052
187,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 14»,59,32,13,55.722263,37.579479
188,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1298»,63,56,32,55.900121,37.382388
189,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1234»,145,121,75,55.753493,37.590114
190,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»,106,33,12,55.672076,37.504851
191,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1356,32,26,12,55.567351,37.58157
192,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1989 «Центр образования»,53,24,8,55.6637054,37.7763934
193,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»,95,48,29,55.821329,37.504672
194,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1416 «Лианозово»,179,53,24,55.895477,37.57786
